"Net-wealth (median) by age, municipality groups and time"

" "," ","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"18 years and over"
" ","All Denmark",424030,457967,493166,531665,547467,611289,675175,752900,701429
" ","Capital municipalities",445701,490596,521797,553036,563836,614787,680900,739423,674498
" ","Metropolitan municipalities",263825,286329,304603,322136,325931,357030,398168,442355,409333
" ","Provincial municipalities",426021,460731,499840,544270,565146,637419,703306,790697,738875
" ","Commuter municipalities",502740,538153,586441,641036,667947,752423,827744,936478,880420
" ","Rural municipalities",434080,459278,493614,533313,548307,619998,685015,769117,724881
" ","Copenhagen",275998,301918,318158,333743,336942,364425,410386,431725,400015
" ","Frederiksberg",558339,599833,629758,673336,695854,750702,847670,914358,839117
" ","Dragør",1256038,1332585,1437214,1478836,1524991,1691564,1831534,2072869,1984438
" ","Tårnby",632343,714415,769861,845416,851158,912185,1004936,1063660,1008951
" ","Albertslund",280800,319556,349370,385247,384151,418102,467626,525518,461680
" ","Ballerup",459901,501924,547959,586946,589358,661930,703561,773922,672177
" ","Brøndby",269717,286208,316216,336314,345694,392472,425232,450063,364236
" ","Gentofte",1244332,1376158,1431347,1536384,1598460,1747314,1971199,2177851,2010787
" ","Gladsaxe",469595,517559,556166,578311,591910,663726,724206,798090,729694
" ","Glostrup",420398,450613,494138,528613,543584,577754,632316,682943,628086
" ","Herlev",412424,464978,511053,534676,549298,605524,664554,752346,658907
" ","Hvidovre",452521,516832,555004,592448,600916,665949,734751,803364,729698
" ","Høje-Taastrup",401236,453496,505770,521956,547070,593215,631111,663509,558814
" ","Ishøj",217327,244378,280907,310101,315892,356398,386059,425751,372231
" ","Lyngby-Taarbæk",888853,963304,1020887,1065403,1076488,1171817,1289023,1326599,1185574
" ","Rødovre",417676,476721,510465,547105,547346,608311,641654,709706,604700
" ","Vallensbæk",768098,821930,881751,895747,905610,980157,1098987,1203611,1047207
" ","Allerød",1111801,1200162,1240036,1338518,1403381,1513313,1663191,1970421,1827549
" ","Egedal",876739,967222,1027553,1099446,1127174,1219747,1320146,1513798,1342508
" ","Fredensborg",654478,715182,746418,848076,901078,999863,1084294,1241125,1155016
" ","Frederikssund",569735,628550,703487,782396,818962,904985,996189,1118822,1047786
" ","Furesø",1014912,1069455,1143931,1229707,1267551,1392824,1505720,1757301,1601571
" ","Gribskov",617392,678766,757385,824383,889033,1008570,1128668,1288875,1205954
" ","Halsnæs",422031,462847,525918,623181,670761,754932,836997,986025,907571
" ","Helsingør",493830,552353,607918,672726,713796,814386,902300,1061155,938053
" ","Hillerød",647595,699471,755433,833008,868596,968186,1032407,1125988,1028236
" ","Hørsholm",1203923,1300075,1355083,1450980,1498434,1641389,1859015,2165138,1979486
" ","Rudersdal",1256110,1395122,1436070,1531321,1560706,1710337,1931245,2207410,2046378
" ","Bornholm",454502,470138,534223,597793,622460,693068,773470,846584,777380
" ","Greve",660642,727060,819605,883655,908211,994547,1058593,1184139,1089567
" ","Køge",421828,479201,540591,595659,620954,698815,752885,851436,792606
" ","Lejre",685886,774492,841242,922495,933111,1042144,1111789,1211825,1148599
" ","Roskilde",600486,667177,746309,822835,844030,943121,1016521,1168034,1097765
" ","Solrød",759222,857495,942064,999490,1076104,1195317,1296056,1468404,1368528
" ","Faxe",404925,438210,482804,552055,593954,667676,735714,852373,759991
" ","Guldborgsund",380308,399253,435943,474081,488403,563052,619500,698925,645989
" ","Holbæk",440488,466234,508919,583471,591631,689393,760117,874290,801798
" ","Kalundborg",439589,470133,507965,560767,577005,652855,725186,828846,767724
" ","Lolland",330273,355522,389329,409477,430044,492688,537680,607771,549899
" ","Næstved",388235,420233,459430,518987,541789,610909,670741,772836,706038
" ","Odsherred",464651,510181,540454,610338,640194,732769,810141,944951,864351
" ","Ringsted",403103,439404,490117,549097,566341,630323,699764,795471,717160
" ","Slagelse",340386,369889,412897,447784,467852,521593,576693,661763,610512
" ","Sorø",472045,494884,552353,604911,646696,733216,791848,920707,847934
" ","Stevns",519794,549996,622662,678950,738692,851188,905899,1024419,963840
" ","Vordingborg",405573,426708,468361,517187,553310,622510,697190,799256,722436
" ","Assens",427690,436762,469116,515467,523221,609113,664785,722251,703933
" ","Faaborg-Midtfyn",462093,485812,517703,552331,572442,648195,734302,805557,759542
" ","Kerteminde",457183,493758,536764,580000,589178,670185,741128,816382,788338
" ","Langeland",456198,483030,503290,538697,555628,616909,688910,755541,712962
" ","Middelfart",493876,546508,579989,618257,642696,723965,793873,902115,857066
" ","Nordfyns",408839,443973,489313,531481,555083,640157,687766,785415,753069
" ","Nyborg",419952,450611,493444,532952,558740,633686,685285,753386,714859
" ","Odense",246293,269143,285932,302478,304972,344233,383178,430468,401380
" ","Svendborg",436934,467821,503682,545918,575725,654774,742926,829424,796260
" ","Ærø",549807,593582,615138,683251,707658,774272,886291,933524,881686
" ","Billund",513197,543193,588810,628853,626129,713765,768849,850683,829942
" ","Esbjerg",387612,418763,450849,487587,503641,569984,615036,697186,661546
" ","Fanø",805026,817038,906814,830207,1006827,1069312,1210053,1417887,1390729
" ","Fredericia",349935,381984,418843,445382,464096,533809,584936,658352,615789
" ","Haderslev",361542,386869,423046,458596,469037,543847,601271,667804,638223
" ","Kolding",372607,406908,433866,474048,493972,555873,634409,709296,676152
" ","Sønderborg",411219,443399,467515,512870,524776,588002,641573,720729,683679
" ","Tønder",431433,446751,464310,499117,518239,583578,629444,704667,679448
" ","Varde",489759,513944,560403,587817,601806,682094,765849,843845,781374
" ","Vejen",397240,426736,456332,496378,521099,584959,643528,723767,669644
" ","Vejle",422372,451885,487871,526720,544641,614878,676966,747168,708973
" ","Aabenraa",399133,435815,468252,499907,515106,573287,632042,717442,682696
" ","Favrskov",593581,623948,687368,724203,744739,851521,935977,1065955,1002010
" ","Hedensted",514100,543460,584778,633652,646697,720092,783083,902758,845642
" ","Horsens",360561,397530,433245,471630,495147,551743,612632,682514,636065
" ","Norddjurs",384278,407924,440857,464905,483492,552362,613619,697022,671624
" ","Odder",592151,592576,643410,708509,754237,818981,928533,1053823,1015784
" ","Randers",335647,358654,386111,426908,450215,515937,570802,635224,586506
" ","Samsø",596363,622847,657830,710305,747299,863674,901305,1006125,945597
" ","Silkeborg",504483,544114,599510,645439,653741,740187,822429,906620,866357
" ","Skanderborg",676160,734087,774737,823379,843808,957139,1047502,1203271,1157885
" ","Syddjurs",574336,606318,629009,679744,708650,781580,881347,994282,987589
" ","Aarhus",250510,273694,291560,304831,312350,338620,387987,427184,378044
" ","Herning",465713,483197,508943,549836,562318,642144,706798,784705,739249
" ","Holstebro",476776,496220,513994,555363,581431,647811,731121,824360,780351
" ","Ikast-Brande",459126,486209,521046,557994,586627,649745,711222,783748,711592
" ","Lemvig",526025,575916,586749,614578,627598,722171,791148,875897,814403
" ","Ringkøbing-Skjern",509170,536825,570472,621429,612635,697445,776006,853289,791053
" ","Skive",460668,478273,515162,533130,552825,624699,706685,793039,758339
" ","Struer",469117,479369,502149,544553,556945,625602,697867,776771,724253
" ","Viborg",472127,499758,534176,581970,592977,663040,747346,835075,771353
" ","Brønderslev",446698,464467,503447,518713,531223,596054,648621,725746,681408
" ","Frederikshavn",424235,443870,486357,517339,537987,599222,669927,758097,716783
" ","Hjørring",424669,441501,480500,518409,533588,595932,640893,737113,704130
" ","Jammerbugt",480853,502007,531868,580931,587624,664756,723239,819596,782587
" ","Læsø",677174,671538,670630,722038,722895,813275,859469,923372,905672
" ","Mariagerfjord",445088,457916,492603,542159,560269,638325,711953,780344,756221
" ","Morsø",435593,481452,508168,551551,552895,607091,665579,724721,703391
" ","Rebild",577328,588561,655969,677211,720565,776218,835553,940358,908467
" ","Thisted",450150,483470,503645,556315,556535,616586,690912,772782,726938
" ","Vesthimmerlands",440199,443381,491206,531309,534216,615582,672841,749516,723450
" ","Aalborg",302125,321000,341666,368413,367373,397300,426836,475661,465491
"18-29 years"
" ","All Denmark",21614,24495,26681,29600,32380,36472,51286,58167,56365
" ","Capital municipalities",32173,35908,38403,41108,43381,47893,65356,71608,66238
" ","Metropolitan municipalities",20388,23144,25822,28683,31753,35756,52148,59530,56954
" ","Provincial municipalities",17805,20642,22337,25537,28541,32636,45511,52197,51701
" ","Commuter municipalities",18180,20493,22613,26069,28805,32741,45786,53064,52604
" ","Rural municipalities",15135,17269,18777,21272,23567,26933,37939,44692,46425
" ","Copenhagen",40913,45061,47825,49440,50976,55889,75636,81238,75507
" ","Frederiksberg",44026,48461,50120,54993,61141,67066,93891,103093,92643
" ","Dragør",26350,28729,31140,34646,41217,45253,59208,69280,62941
" ","Tårnby",27829,30870,33836,36176,37874,38890,52872,54644,54121
" ","Albertslund",10440,13125,13483,16248,16654,18806,27457,31925,28582
" ","Ballerup",20684,22569,24455,27947,30074,33662,46086,51911,46889
" ","Brøndby",16447,18457,19329,20089,20820,21990,31483,34249,33324
" ","Gentofte",26619,28500,28960,34074,37050,43499,64266,74274,70316
" ","Gladsaxe",25057,27784,31060,33843,35856,39680,54487,60542,56514
" ","Glostrup",28974,32609,35585,38229,39742,42796,55745,65924,61958
" ","Herlev",22843,24865,27380,29540,30858,32839,45316,50873,44309
" ","Hvidovre",24297,29335,31579,33425,35065,35156,47442,50859,50584
" ","Høje-Taastrup",20489,23145,25737,28156,29116,35407,44719,47335,45129
" ","Ishøj",15532,16552,17340,20061,20010,23053,28795,31223,28715
" ","Lyngby-Taarbæk",30366,33427,36295,38942,42993,45744,63624,62006,58572
" ","Rødovre",23229,24148,26874,30928,32432,34979,44733,47373,48157
" ","Vallensbæk",30349,33700,33846,37708,40400,39367,50943,52059,49712
" ","Allerød",29928,33396,35800,37845,44926,47302,65559,72442,66804
" ","Egedal",28013,34297,37016,43584,47620,50296,68551,76724,66104
" ","Fredensborg",19875,22773,24020,27052,30689,31277,46377,48912,50827
" ","Frederikssund",20996,22587,27481,30330,33809,37978,54148,62145,60541
" ","Furesø",21135,23795,27151,31201,34957,38644,58394,61314,56145
" ","Gribskov",18393,20957,24297,26068,29788,31470,45681,53775,51520
" ","Halsnæs",15848,19085,21128,23331,24407,29947,43035,51325,47620
" ","Helsingør",16347,18650,20463,22640,26805,30126,42246,49045,46331
" ","Hillerød",24743,28705,29762,35318,37423,42925,58191,60556,60499
" ","Hørsholm",28169,30131,31206,30611,33372,44156,62200,69075,66071
" ","Rudersdal",26554,30065,31176,35570,35958,42385,57145,66034,65076
" ","Bornholm",13406,15474,18963,20917,24462,29778,42828,49955,51054
" ","Greve",24735,26549,31667,34555,36671,39170,50324,57828,53245
" ","Køge",17170,20932,24137,27427,32294,35817,46070,53273,52405
" ","Lejre",20268,26610,28973,33685,36599,41408,57637,64520,54453
" ","Roskilde",18221,21449,23906,29333,33262,36264,50949,57247,55958
" ","Solrød",25057,30980,35620,41276,42799,50115,65193,76212,64777
" ","Faxe",12743,16257,17495,23412,26521,27979,36748,47071,44280
" ","Guldborgsund",9270,10414,10881,11409,13914,16070,23887,31329,33498
" ","Holbæk",15586,17136,19872,23515,24281,28680,40194,47311,47362
" ","Kalundborg",12887,15504,16364,19931,22738,23253,32362,39226,41724
" ","Lolland",6200,7163,7184,7837,9004,10636,15682,20398,23306
" ","Næstved",15100,17562,18316,20963,22160,25525,37448,46692,45440
" ","Odsherred",12995,15698,17230,19796,22543,24746,30576,38588,36647
" ","Ringsted",18618,21436,24327,26642,29012,34791,45274,52146,49905
" ","Slagelse",12591,14559,16328,18611,20729,22975,32190,40139,40254
" ","Sorø",17315,20536,21412,24382,26565,31539,44507,52381,50426
" ","Stevns",13553,16214,18583,23458,23787,29777,43075,53385,48436
" ","Vordingborg",10279,10817,11806,13222,15419,17471,27148,33068,34711
" ","Assens",12102,13184,16554,18194,19699,24003,32475,39420,43819
" ","Faaborg-Midtfyn",15301,18335,19558,20811,24480,28013,40027,47026,49194
" ","Kerteminde",14448,16362,15262,20527,22531,23737,35205,43451,47203
" ","Langeland",11455,13885,14049,16891,19285,19040,31892,37048,47447
" ","Middelfart",17964,21691,21927,26723,29623,32675,44971,53629,55227
" ","Nordfyns",12303,16918,18427,20383,23269,25408,38452,45943,48036
" ","Nyborg",12877,13253,14300,18325,19152,24610,32934,35349,38234
" ","Odense",16146,18203,20526,23084,24982,28851,42960,49231,48110
" ","Svendborg",11811,13783,15442,17777,19412,24494,34067,41042,42158
" ","Ærø",10588,14390,15638,14939,23138,26338,35986,45511,38769
" ","Billund",24199,31844,34321,38176,39753,43906,56305,63688,63809
" ","Esbjerg",19050,22212,24238,27626,28734,32260,43760,49867,49805
" ","Fanø",15364,22423,25030,33030,33044,31235,49501,58144,54286
" ","Fredericia",12814,14300,16007,17479,19749,25008,35769,42556,43139
" ","Haderslev",14627,16033,18090,20479,22473,25369,37207,43725,46816
" ","Kolding",17529,19608,22376,25155,27976,31612,42660,49269,48460
" ","Sønderborg",15057,16848,19197,22552,25458,30002,38966,43688,42105
" ","Tønder",18164,20073,22824,23329,27345,32058,43175,46734,50947
" ","Varde",22261,26407,25950,30150,30891,36572,50708,57614,58502
" ","Vejen",16749,20616,21567,27266,30111,34435,44655,53441,54363
" ","Vejle",21120,24696,26935,30421,33846,37315,52984,58828,56569
" ","Aabenraa",15929,20760,21715,23885,25125,28937,41540,50783,51945
" ","Favrskov",25417,26801,29939,34879,36843,42246,56284,63378,61356
" ","Hedensted",27325,28754,31618,37150,39388,44337,59842,66429,66605
" ","Horsens",15039,17924,18590,22018,25172,29086,43083,46340,46266
" ","Norddjurs",11721,14218,16155,18693,20629,21825,32262,38714,42441
" ","Odder",20861,20512,22718,24690,30956,33026,51029,58706,50875
" ","Randers",13728,15852,16496,19509,22457,27642,36943,43815,41942
" ","Samsø",15029,26334,26741,35650,41167,33043,54713,51502,55190
" ","Silkeborg",21493,24244,26531,29352,34259,40365,55944,62583,61706
" ","Skanderborg",25791,28520,30781,31878,36914,43767,61826,71613,67817
" ","Syddjurs",15706,19297,20095,23803,26043,28696,43477,49352,48234
" ","Aarhus",25307,28701,31491,34420,37988,42186,61246,69067,63750
" ","Herning",21931,25136,26769,29208,33827,38416,52991,62688,64570
" ","Holstebro",24112,27148,28535,31462,35303,38966,55993,64503,64138
" ","Ikast-Brande",21884,23264,26062,28456,32441,36126,48317,52307,53918
" ","Lemvig",24064,29652,28623,29407,37131,43377,60056,65085,60955
" ","Ringkøbing-Skjern",26904,29729,30201,34362,39099,44301,59782,65234,68532
" ","Skive",17021,19056,20453,22335,25029,29787,44140,52692,55420
" ","Struer",12093,12972,15172,18452,20598,22871,33053,42278,41298
" ","Viborg",18115,21662,21938,24803,27655,31452,43976,51440,52475
" ","Brønderslev",15107,16332,18654,19227,21353,24257,33491,40771,43824
" ","Frederikshavn",13097,14323,16118,17865,19324,20881,31873,36378,37486
" ","Hjørring",13280,13530,15114,18264,20358,23372,32940,41093,42602
" ","Jammerbugt",15465,17149,17707,19331,23734,24299,34517,44570,47895
" ","Læsø",21575,19281,28392,41221,42907,50367,67518,77001,114711
" ","Mariagerfjord",17057,19085,21791,25305,28004,30307,42493,45386,48095
" ","Morsø",18057,22761,23767,26804,29195,27057,43018,47817,55287
" ","Rebild",21900,23425,26220,30969,33818,39503,51443,58506,64982
" ","Thisted",21009,23610,25430,29333,31296,33768,49901,58566,57788
" ","Vesthimmerlands",19219,21122,22053,24249,26071,28091,37548,44551,49556
" ","Aalborg",16316,18726,20997,24163,27500,31199,45010,51542,52104
"30-39 years"
" ","All Denmark",183744,209348,224452,242603,242735,267183,296129,334343,309671
" ","Capital municipalities",253225,289443,301677,316039,308968,330545,371601,397726,354330
" ","Metropolitan municipalities",177129,201890,215769,227722,226837,239290,267825,302043,278781
" ","Provincial municipalities",171023,197511,213246,234737,237639,262844,286209,329557,305994
" ","Commuter municipalities",164290,189125,208140,236149,245543,278485,301673,360097,343986
" ","Rural municipalities",126189,139613,151869,168173,166996,192452,213589,252061,241678
" ","Copenhagen",236825,262945,272403,285001,274348,292893,331891,337724,311049
" ","Frederiksberg",382167,416361,416655,428174,417440,432780,504439,525377,486244
" ","Dragør",444647,538774,583300,556004,593166,653219,698923,849848,811163
" ","Tårnby",326353,401360,421599,442804,427347,427249,467412,482436,446681
" ","Albertslund",135347,161178,180763,193323,190306,215516,225702,259400,249444
" ","Ballerup",207615,223273,245110,263341,264611,297871,334012,376363,315709
" ","Brøndby",128055,136256,153881,165452,170733,190726,211035,221222,188698
" ","Gentofte",408001,443700,440043,427653,434408,455009,527008,603523,493852
" ","Gladsaxe",238950,266430,276967,293551,281919,308999,341135,382010,350931
" ","Glostrup",218909,247824,276829,290898,288878,288638,304915,327661,290933
" ","Herlev",205851,258535,275729,275891,283655,310925,344696,379359,308455
" ","Hvidovre",248370,306464,329809,347971,341061,361813,388087,413589,365329
" ","Høje-Taastrup",160983,197591,220661,234769,239357,256902,280063,307636,237207
" ","Ishøj",107909,137281,162521,181670,171975,198162,217107,232936,211112
" ","Lyngby-Taarbæk",401313,453844,457283,479238,451197,484791,534188,553762,427568
" ","Rødovre",214905,269779,283404,300386,293584,308000,315905,353770,280478
" ","Vallensbæk",272861,321876,354919,359559,358157,400745,460089,497659,434337
" ","Allerød",432809,489640,492963,574316,620146,628060,723534,970999,936964
" ","Egedal",347481,425738,461024,491620,493755,506107,555655,725579,658284
" ","Fredensborg",155933,190250,217180,252803,274541,305501,336628,399688,397507
" ","Frederikssund",188643,232426,263760,313215,319132,333988,363266,421962,408375
" ","Furesø",358754,392234,411690,440648,428479,494262,534827,711571,569108
" ","Gribskov",139710,176927,223159,249464,276054,296265,328888,406064,371947
" ","Halsnæs",112225,139744,173726,219099,244521,266335,285762,359825,320250
" ","Helsingør",141468,175070,202603,222821,243543,280084,313374,374954,317797
" ","Hillerød",225318,275901,300699,341187,349397,404559,423703,490125,417736
" ","Hørsholm",349696,424029,416251,456132,489935,543143,610246,839408,688351
" ","Rudersdal",395649,540070,542841,589211,587221,636797,728042,954344,844960
" ","Bornholm",94049,108599,140259,173806,191054,210177,229698,268478,250874
" ","Greve",235964,309503,359835,380390,392483,421330,439624,530287,487221
" ","Køge",155330,208585,229933,267954,272339,298492,301373,351769,331189
" ","Lejre",204951,258743,292599,334852,340830,397821,395348,453080,441570
" ","Roskilde",246938,299409,347321,382761,377723,409987,430084,529469,486896
" ","Solrød",281927,369302,406251,447158,484731,547445,586411,737092,668181
" ","Faxe",87421,112316,130699,171401,197533,226740,239976,319719,286393
" ","Guldborgsund",83535,95942,112451,131686,133533,162261,183785,220851,195930
" ","Holbæk",148960,161242,180551,209762,211567,251446,283222,339154,297662
" ","Kalundborg",122966,139863,160927,191310,197528,224331,248541,295053,271713
" ","Lolland",57533,66894,78219,87965,97514,119420,130922,153511,143365
" ","Næstved",126077,154125,171804,208392,218411,244956,263422,318046,287574
" ","Odsherred",73259,97000,110519,153023,154295,190276,211748,260801,229035
" ","Ringsted",167587,199823,219599,258909,263966,282039,297125,365244,326089
" ","Slagelse",115159,138528,168653,183305,182316,199972,214760,255027,226973
" ","Sorø",136687,148580,174606,198788,230625,274295,286354,364534,342910
" ","Stevns",128595,164630,200186,222291,245921,313207,290944,365083,359834
" ","Vordingborg",84057,89435,113804,149972,155061,180560,207792,245050,213412
" ","Assens",122354,123724,128833,155684,152533,187879,215653,238890,265161
" ","Faaborg-Midtfyn",137896,152507,161714,178960,192253,226892,256459,306401,289674
" ","Kerteminde",151175,176451,196771,213373,207225,233534,241290,281772,264134
" ","Langeland",89959,94676,105451,123917,98608,116939,141485,175475,155111
" ","Middelfart",172674,201451,198981,210211,229988,260299,278425,334567,336641
" ","Nordfyns",126352,154423,169264,184465,191554,213007,215633,270918,267135
" ","Nyborg",134421,162574,183382,190417,179695,207984,216792,253352,235780
" ","Odense",146914,171555,182358,194140,189352,207853,231795,267868,243236
" ","Svendborg",118960,138371,151694,171231,181115,217210,252678,289978,278353
" ","Ærø",74305,78497,94961,128553,136438,193629,191180,198044,206473
" ","Billund",192316,221405,239351,249917,245994,282105,300126,340810,328286
" ","Esbjerg",172653,193392,205840,225879,222577,253498,258368,302728,284983
" ","Fanø",145421,107901,134947,63210,130538,166259,256955,346787,408361
" ","Fredericia",128584,157922,172401,176208,172855,197747,208114,247310,235572
" ","Haderslev",113550,123336,134266,154325,151364,182168,201102,224432,222903
" ","Kolding",169986,204127,206256,223511,226421,248445,272641,316553,301938
" ","Sønderborg",146493,159960,165210,188329,187927,213179,238708,274755,268105
" ","Tønder",121441,127248,134183,150032,150990,181232,190900,227744,223944
" ","Varde",153926,166950,191540,203144,197610,229568,251028,296646,283644
" ","Vejen",134391,162920,174829,198362,205768,227611,242875,282579,263022
" ","Vejle",174748,194289,211608,233523,233731,258029,289087,319871,306931
" ","Aabenraa",130870,152554,163114,173234,180633,197997,225766,279132,268769
" ","Favrskov",228898,264018,288975,300426,304190,358980,380826,460227,428401
" ","Hedensted",178529,198619,218781,243068,238883,271733,279999,340960,326398
" ","Horsens",181183,210197,232539,244813,248005,260091,291718,338765,306353
" ","Norddjurs",97456,111871,129225,143048,133729,153297,188230,212132,212395
" ","Odder",181813,174366,188672,226440,258105,264171,302440,385081,376383
" ","Randers",128563,147617,157660,170293,171878,191626,217047,243507,224734
" ","Samsø",161697,133214,137270,163594,150035,196888,208710,253663,248917
" ","Silkeborg",216559,241438,259731,280457,283326,319744,350390,410969,403906
" ","Skanderborg",288091,330151,340431,377541,390939,449225,496261,615288,626370
" ","Syddjurs",154814,175738,179295,215354,212246,243592,280450,330836,374792
" ","Aarhus",192537,221737,240916,251294,257876,272086,313455,348674,312759
" ","Herning",208772,223204,225764,245823,244658,270868,294338,330834,312030
